Time,Original_Signal,Filtered_Signal
15.47,-115.63280240110942,-13.836901975634529
15.48,-122.8096001132962,-13.889395795952865
15.49,-121.98639782548298,-13.868563595259094
15.5,-124.16319553766976,-13.755643424164912
15.51,-128.3399932498566,-13.534449990042333
15.52,-124.51679096204333,-13.192280164176955
15.53,-123.69358867423017,-12.720665262584754
15.54,-121.87038638641695,-12.115930188050385
15.55,-120.04718409860374,-11.3795310219371
15.56,-119.22398181079058,-10.51815513370971
15.57,-118.4007795229773,-9.543580154643802
15.58,-117.57757723516414,-8.472299393435716
15.59,-121.75437494735093,-7.324931041659134
15.6,-121.93117265953771,-6.125436802988813
15.61,-118.10797037172449,-4.900182600461429
15.62,-119.28476808391133,-3.6768800156925137
15.63,-117.46156579609806,-2.4834521591536656
15.64,-115.6383635082849,-1.3468715647161915
15.65,-111.81516122047168,-0.29202006472605996
15.66,-117.99195893265846,0.6593789620232696
15.67,-114.16875664484525,1.4897073290729292
15.68,-116.34555435703209,2.1862331147579543
15.69,-115.52235206921881,2.7416874895617536
15.7,-109.69914978140565,3.1546066442475236
15.71,-115.87594749359243,3.429417720591745
15.72,-112.05274520577922,3.5762586325149877
15.73,-116.229542917966,3.6105337927085226
15.74,-113.40634063015284,3.5522205517900396
15.75,-115.58313834233957,3.424953953212317
15.76,-116.7599360545264,3.2549294610541053
15.77,-114.93673376671319,3.0696738974613496
15.78,-114.11353147889997,2.896743264074747
15.79,-119.29032919108681,2.762411825708731
15.8,-122.4671269032736,2.6904192877043434
15.81,-120.64392461546038,2.700841666792529
15.82,-120.82072232764716,2.8091462617698717
15.83,-117.99752003983394,3.0254820096297803
15.84,-121.17431775202073,3.3542439382478224
15.85,-120.35111546420757,3.7939352656449765
15.86,-119.52791317639435,4.337334011437602
15.87,-116.70471088858113,4.9719538478458665
15.88,-120.88150860076792,5.680772325638687
15.89,-119.0583063129547,6.4431844849235365
15.9,-119.23510402514148,7.236127017975757
15.91,-119.41190173732832,8.035308278219828
15.92,-113.5886994495151,8.816473104395328
15.93,-111.76549716170189,9.55662915526658
15.94,-116.94229487388867,10.235163612608611
15.95,-115.11909258607545,10.834785827112801
15.96,-112.2958902982623,11.342242449496478
15.97,-116.47268801044908,11.748766058323726
15.98,-116.64948572263586,12.05023521709976
15.99,-114.82628343482264,12.247042110577823
16.0,-116.00308114700948,12.343682294385024
16.01,-113.17987885919621,12.348098612719534
16.02,-111.35667657138305,12.27082710472293
16.03,-113.53347428356983,12.12400595339548
16.04,-115.71027199575661,11.920318468286485
16.05,-123.8870697079434,11.671946890677741
16.06,-123.06386742013024,11.389614567831435
16.07,-122.24066513231696,11.081789022354874
16.08,-123.4174628445038,10.75410741725526
16.09,-119.59426055669059,10.409069454698814
16.1,-121.77105826887737,10.046022217109133
16.11,-121.94785598106415,9.66143875153513
16.12,-124.12465369325099,9.249469322221676
16.13,-121.30145140543772,8.80272303776374
16.14,-125.47824911762456,8.31321950780329
16.15,-122.65504682981134,7.77343648909946
16.16,-123.83184454199812,7.177371031952525
16.17,-129.00864225418496,6.521529010025781
16.18,-127.18543996637169,5.8057613290518155
16.19,-124.36223767855853,5.033874415429786
16.2,-127.53903539074531,4.213957312194819
16.21,-123.7158331029321,3.3583871130623835
16.22,-127.89263081511888,2.4834975139573423
16.23,-130.06942852730572,1.6089205505169288
16.24,-130.24622623949244,0.7566372907488933
16.25,-133.42302395167928,-0.05020279323822816
16.26,-141.59982166386607,-0.7886140892947495
16.27,-138.77661937605285,-1.4371651281751185
16.28,-141.95341708823963,-1.977326897284914
16.29,-146.13021480042647,-2.3946811608233403
16.3,-142.3070125126132,-2.6799009120819735
16.31,-137.48381022480004,-2.8294323362927933
16.32,-138.66060793698682,-2.845830157643619
16.33,-135.8374056491736,-2.7377236482026044
16.34,-140.0142033613604,-2.5194164857010715
16.35,-138.19100107354723,-2.210147992861842
16.36,-139.367798785734,-1.8330645763517868
16.37,-141.5445964979208,-1.413967462540129
16.38,-138.72139421010758,-0.9799155207984661
16.39,-137.89819192229436,-0.5577696762276988
16.4,-133.0749896344812,-0.17276783701376708
16.41,-137.25178734666798,0.1527837948094077
16.42,-135.42858505885476,0.40062565113092546
16.43,-135.60538277104155,0.557402066306376
16.44,-137.78218048322833,0.6152145347506744
16.45,-137.9589781954151,0.5718448933434146
16.46,-142.13577590760195,0.4306438591814972
16.47,-135.31257361978874,0.20010151567559586
16.48,-136.48937133197552,-0.10686420828819128
16.49,-140.6661690441623,-0.4738483981239983
16.5,-141.84296675634909,-0.8820637556971036
16.51,-143.01976446853587,-1.3115348196223373
16.52,-144.1965621807227,-1.7423041351306559
16.53,-146.3733598929095,-2.155574487714827
16.54,-142.55015760509627,-2.5347183486817864
16.55,-142.72695531728306,-2.866097382817394
16.56,-148.90375302946984,-3.1396502162189734
16.57,-148.08055074165668,-3.3492243656892984
16.58,-146.25734845384346,-3.492646910177562
16.59,-142.43414616603025,-3.5715467581442892
16.6,-145.61094387821703,-3.5909578449596755
16.61,-139.78774159040387,-3.5587459283055196
16.62,-143.9645393025906,-3.484910708041606
16.63,-139.14133701477743,-3.3808191284171847
16.64,-143.31813472696422,-3.2584248994865095
16.65,-147.494932439151,-3.129524090489008
16.66,-145.67173015133778,-3.005088175914477
16.67,-145.84852786352462,-2.8947055005566225
16.68,-148.02532557571135,-2.806151110120177
16.69,-145.2021232878982,-2.745094342430516
16.7,-145.37892100008497,-2.7149441848390006
